City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
49,hermanus,66,ZA,1573146824,80,-34.42,19.24,61.0,5.01
50,cabedelo,75,BR,1573146824,51,-6.97,-34.84,86.0,16.11
51,hervey bay,0,AU,1573146824,93,-25.3,152.85,66.2,9.17
52,sfantu gheorghe,100,RO,1573146824,82,44.65,26.83,62.6,5.82
53,busselton,0,AU,1573146825,50,-33.64,115.35,57.0,14.83
54,shangrao,2,CN,1573146825,82,28.45,117.97,54.19,2.42
55,tagusao,100,PH,1573146826,89,9.19,117.81,73.44,2.8
56,mataura,34,NZ,1573146826,86,-46.19,168.86,53.01,3.0
57,cabo san lucas,75,MX,1573146818,51,22.89,-109.91,87.01,2.24
58,madang,38,CN,1573146826,71,35.32,102.79,36.27,2.91
59,namibe,100,AO,1573146827,85,-15.19,12.15,73.89,10.13
60,port elizabeth,75,US,1573146827,66,39.31,-74.98,61.0,6.93
61,ayan,0,IR,1573146828,41,38.23,44.7,36.64,0.49
62,jamestown,92,AU,1573146828,76,-33.21,138.6,52.25,21.54
63,beringovskiy,97,RU,1573146828,88,63.05,179.32,30.38,14.27
64,carnarvon,0,ZA,1573146828,21,-30.97,22.13,61.86,14.99
65,inhambane,20,MZ,1573146829,88,-23.87,35.38,78.8,18.34
